Brand,Main_Origin,Category,Notes
Ford,US,Legacy US,本土三大汽车制造商之一
Chevrolet,US,Legacy US,通用汽车旗下品牌
GMC,US,Legacy US,通用汽车旗下商用车品牌
Jeep,US,Legacy US,Stellantis集团旗下但核心在美国
Ram,US,Legacy US,Stellantis集团旗下卡车品牌
Tesla,US,New Energy,美国新能源汽车制造商
Toyota,Japan,Japanese,核心日本汽车制造商
Honda,Japan,Japanese,核心日本汽车制造商
Nissan,Japan,Japanese,核心日本汽车制造商
Subaru,Japan,Japanese,日本汽车制造商
Mazda,Japan,Japanese,日本汽车制造商
Lexus,Japan,Japanese,丰田旗下高端品牌
Hyundai,Korea,Korean,韩国现代汽车
Kia,Korea,Korean,韩国起亚汽车
Volkswagen,EU,German,德国大众汽车
BMW,EU,German,德国宝马汽车
Mercedes-Benz,EU,German,德国奔驰汽车
Audi,EU,German,德国奥迪汽车
Volvo,EU,Swedish/Chinese,吉利旗下但通常视为瑞典品牌
Porsche,EU,German,德国保时捷汽车
Cadillac,US,Legacy US,通用汽车旗下豪华品牌
Lincoln,US,Legacy US,福特汽车旗下豪华品牌
Buick,US,Legacy US,通用汽车旗下品牌
Chrysler,US,Legacy US,Stellantis集团旗下美国品牌
Dodge,US,Legacy US,Stellantis集团旗下美国品牌
Infiniti,Japan,Japanese,日产旗下高端品牌
Acura,Japan,Japanese,本田旗下高端品牌
Genesis,Korea,Korean,现代汽车旗下高端品牌
Mitsubishi,Japan,Japanese,日本三菱汽车
Land Rover,EU,British,英国路虎品牌
Jaguar,EU,British,英国捷豹品牌
