year,gdp_real,cpi,unemployment,industrial_production,fed_funds_rate,treasury_10y,sp500
2015,18799.622,237.002,5.3,100.8622,0.13,2.14,
2016,19141.672,240.005,4.9,98.6951,0.4,1.84,2094.65
2017,19612.103,245.121,4.4,100.0,1.0,2.33,2449.08
2018,20193.895,251.1,3.9,103.1566,1.83,2.91,2746.21
2019,20715.672,255.653,3.7,102.4319,2.16,2.14,2913.36
2020,20284.5,258.856,8.1,95.124,0.38,0.89,3217.86
2021,21532.407,270.968,5.4,99.3001,0.08,1.45,4273.41
2022,22075.931,292.625,3.6,102.7129,1.68,2.95,4098.51
2023,22723.719,304.704,3.6,102.8766,5.02,3.96,4283.73
2024,23358.435,313.698,4.0,102.5551,5.14,4.21,5428.24
