scenario,year,tariff_rate,import_value,revenue
baseline,2025,0.025,3000000000000.0,75000000000.0
baseline,2026,0.026,2996400000000.0,77906400000.0
baseline,2027,0.027,2992804320000.0,80805716640.0
baseline,2028,0.028,2989212954816.0,83697962734.848
baseline,2029,0.029,2985625899270.2207,86583151078.83641
reciprocal_tariff,2025,0.025,2999956903586.7173,74998922589.66794
reciprocal_tariff,2026,0.1,2729960782263.9126,272996078226.39127
reciprocal_tariff,2027,0.12,2664441723489.5786,319733006818.74945
reciprocal_tariff,2028,0.13,2632468422807.7036,342220894965.00146
reciprocal_tariff,2029,0.14,2600878801734.011,364123032242.7616
